Latitude,Longitude,SiteName,Time,NowCast Concentration,NowCast AQI
36.138271,-118.616788,Unit1019,Wed 10/11/2017 01:00 PM EDT,5.7,24
35.755048,-118.417447,Unit1026,Wed 10/11/2017 01:00 PM EDT,28.7,86
37.629869,-119.084437,Unit1027,Wed 10/11/2017 01:00 PM EDT,11.5,48
37.464173,-119.736106,MMCA81011,Wed 10/11/2017 01:00 PM EDT,8.8,37
39.394537,-120.188370,La Grange,Wed 10/11/2017 01:00 PM EDT,11.4,48
40.734826,-122.941260,Groveland,Wed 10/11/2017 01:00 PM EDT,17.4,62
36.135857,-118.811023,Unit1045,Wed 10/11/2017 01:00 PM EDT,6.4,27
41.300912,-123.132663,MMCA81021,Wed 10/11/2017 01:00 PM EDT,22.7,73
37.647325,-118.961055,Unit1043,Wed 10/11/2017 01:00 PM EDT,5.8,24
41.116430,-123.710582,MMCA81017,Wed 10/11/2017 01:00 PM EDT,3.8,16
41.307757,-122.797494,Callahan,Wed 10/11/2017 01:00 PM EDT,27.1,83
41.304302,-123.537140,MMCA81006,Wed 10/11/2017 01:00 PM EDT,30.1,89
37.448852,-119.848673,MMCA81007,Wed 10/11/2017 01:00 PM EDT,8.8,37
40.735170,-122.944822,MMCA81027,Wed 10/11/2017 01:00 PM EDT,15.6,58
34.866797,-120.294650,Santa Barbara Armory,Wed 10/11/2017 01:00 PM EDT,8.8,37
36.255344,-117.993894,Unit1051,Wed 10/11/2017 01:00 PM EDT,4.6,19
36.021338,-118.136888,Unit1030,Wed 10/11/2017 01:00 PM EDT,4.4,18
39.714333,-105.123878,Unit17,Wed 10/11/2017 01:00 PM EDT,4.4,18
39.714352,-105.123924,MMFS10015,Wed 10/11/2017 01:00 PM EDT,8.3,35
48.897766,-115.058388,Unit153,Wed 10/11/2017 01:00 PM EDT,25.6,79
37.539908,-119.658237,MMNPS1011,Wed 10/11/2017 01:00 PM EDT,10.5,44
41.726632,-122.633901,MMNPS1014,Wed 10/11/2017 01:00 PM EDT,9.4,39
36.427842,-118.912303,MMNPS1016,Wed 10/11/2017 01:00 PM EDT,7.4,31
41.426772,-122.381108,MMNPS1017,Wed 10/11/2017 01:00 PM EDT,4.5,19
41.605225,-122.848306,MMNPS1018,Wed 10/11/2017 01:00 PM EDT,11.7,49
37.647035,-119.703813,MMNPS1020,Wed 10/11/2017 01:00 PM EDT,4.5,19
40.481690,-124.100769,MMNPS1027,Wed 10/11/2017 01:00 PM EDT,2.2,9
37.488356,-119.967678,N/A,Wed 10/11/2017 01:00 PM EDT,8.1,34
37.713232,-120.200193,MMCA81012,Wed 10/11/2017 01:00 PM EDT,6.0,25
41.189783,-123.696442,MMNPS1024,Wed 10/11/2017 01:00 PM EDT,21.6,71
41.840132,-123.195148,MMCA81022,Wed 10/11/2017 01:00 PM EDT,12.3,51
37.956916,-119.120936,GBUAPCD EBAM @ Lee Vining,Wed 10/11/2017 01:00 PM EDT,9.6,40
36.727595,-118.148518,Unit1055,Wed 10/11/2017 01:00 PM EDT,4.4,18
41.796252,-123.375349,MMCA81032,Wed 10/11/2017 01:00 PM EDT,23.8,76
40.552382,-123.164806,MMCA81037,Wed 10/11/2017 01:00 PM EDT,4.8,20
38.457395,-121.819496,MMCA81036,Wed 10/11/2017 01:00 PM EDT,55.9,151
41.513772,-123.996227,Happy Camp,Wed 10/11/2017 01:00 PM EDT,2.2,9
38.525480,-121.968026,MMCA81031,Wed 10/11/2017 01:00 PM EDT,50.8,139
38.766214,-119.807625,GBUAPCD EBAM @ Alpine Village,Wed 10/11/2017 01:00 PM EDT,10.3,43
39.510205,-121.504197,MMNPS1029,Wed 10/11/2017 01:00 PM EDT,92.6,170
36.566126,-118.777785,N/A,Wed 10/11/2017 01:00 PM EDT,6.8,28
40.885137,-123.991549,N/A,Wed 10/11/2017 01:00 PM EDT,19.3,66
36.739236,-118.962064,N/A,Wed 10/11/2017 01:00 PM EDT,4.5,19
45.206448,-112.642518,Dillon,Wed 10/11/2017 01:00 PM EDT,1.0,4
35.969850,-118.541214,MMFS11052,Wed 10/11/2017 01:00 PM EDT,16.4,60
